time,duration,source_computer,source_port,destination_computer,destination_port,protocol,packet_count,byte_count
471692,0,C5808,N25739,C26871,N3188,6,1,60
471692,0,C5808,N25746,C26871,N20797,6,1,60
471692,0,C5808,N25746,C26871,N236,6,1,60
471692,0,C5808,N25751,C26871,N17052,6,1,60
471692,0,C5808,N25757,C26871,N15344,6,1,60
471692,0,C5808,N25764,C26871,N20449,6,1,60
471692,0,C5808,N25821,C26871,N8338,6,1,60
471692,0,C5808,N25832,C26871,N3689,6,1,60
471692,0,C5808,N25880,C26871,N17133,6,1,60
471692,0,C5808,N25909,C26871,N17731,6,1,60
471692,0,C5808,N25938,C26871,N13210,6,1,60
471692,0,C5808,N25957,C26871,N10972,6,1,60
471692,0,C5808,N25989,C26871,N11460,6,1,60
471692,0,C5808,N25996,C26871,N12231,6,1,60
471692,0,C5808,N26009,C26871,N18178,6,1,60
471692,0,C5808,N26013,C26871,N16881,6,1,60
471692,0,C5808,N26064,C26871,N12359,6,1,60
471692,0,C5808,N26067,C26871,N17921,6,1,60
471692,0,C5808,N26081,C26871,N11552,6,1,60
471692,0,C5808,N2612,C26871,N19403,6,1,60
471692,0,C5808,N26127,C26871,N5527,6,1,60
471692,0,C5808,N26163,C26871,N344,6,1,60
471692,0,C5808,N26164,C26871,N7605,6,1,60
471692,0,C5808,N2617,C26871,N20815,6,1,60
471692,0,C5808,N2621,C26871,N14147,6,1,60
471692,0,C5808,N26314,C26871,N20555,6,1,60
471692,0,C5808,N26335,C26871,N19234,6,1,60
471692,0,C5808,N26371,C26871,N21229,6,1,60
471692,0,C5808,N26382,C26871,N19206,6,1,60
471692,0,C5808,N26476,C26871,N19179,6,1,60
471692,0,C5808,N2649,C26871,N9682,6,1,60
471692,0,C5808,N2654,C26871,N13758,6,1,60
471692,0,C5808,N26554,C26871,N16979,6,1,60
471692,0,C5808,N2663,C26871,N18193,6,1,60
471692,0,C5808,N26672,C26871,N5030,6,1,60
471692,0,C5808,N26676,C26871,N8861,6,1,60
471692,0,C5808,N26679,C26871,N14878,6,1,60
471692,0,C5808,N2669,C26871,N5217,6,1,60
471692,0,C5808,N26715,C26871,N18092,6,1,60
471692,0,C5808,N26718,C26871,N20627,6,1,60
471692,0,C5808,N26731,C26871,N17720,6,1,60
471692,0,C5808,N26750,C26871,N16088,6,1,60
471692,0,C5808,N26753,C26871,N17077,6,1,60
471692,0,C5808,N26820,C26871,N13074,6,1,60
471692,0,C5808,N26831,C26871,N10778,6,1,60
471692,0,C5808,N26885,C26871,N17141,6,1,60
471692,0,C5808,N26947,C26871,N6852,6,1,60
471692,0,C5808,N26974,C26871,N17453,6,1,60
471692,0,C5808,N27038,C26871,N19448,6,1,60
471692,0,C5808,N2711,C26871,N18676,6,1,60
471692,0,C5808,N27147,C26871,N21252,6,1,60
471692,0,C5808,N2721,C26871,N11451,6,1,60
471692,0,C5808,N2723,C26871,N19023,6,1,60
471692,0,C5808,N2724,C26871,42,6,1,60
471692,0,C5808,N27256,C26871,N18333,6,1,60
471692,0,C5808,N27278,C26871,104,6,1,60
471692,0,C5808,N27324,C26871,607,6,1,60
471692,0,C5808,N27348,C26871,N19442,6,1,60
471692,0,C5808,N2739,C26871,N13726,6,1,60
471692,0,C5808,N27404,C26871,N19140,6,1,60
471692,0,C5808,N27429,C26871,N9730,6,1,60
471692,0,C5808,N27433,C26871,N802,6,1,60
471692,0,C5808,N27489,C26871,N18317,6,1,60
471692,0,C5808,N27515,C26871,N789,6,1,60
471692,0,C5808,N2756,C26871,163,6,1,60
471692,0,C5808,N27574,C26871,N17995,6,1,60
471692,0,C5808,N27647,C26871,N10321,6,1,60
471692,0,C5808,N27657,C26871,N15585,6,1,60
471692,0,C5808,N27667,C26871,N10930,6,1,60
471692,0,C5808,N27735,C26871,N17022,6,1,60
471692,0,C5808,N27826,C26871,N21148,6,1,60
471692,0,C5808,N27878,C26871,N17460,6,1,60
471692,0,C5808,N27880,C26871,N17317,6,1,60
471692,0,C5808,N27894,C26871,N19017,6,1,60
471692,0,C5808,N27924,C26871,N10165,6,1,60
471692,0,C5808,N27960,C26871,N10785,6,1,60
471692,0,C5808,N27961,C26871,N20362,6,1,60
471692,0,C5808,N27965,C26871,N19405,6,1,60
471692,0,C5808,N28029,C26871,N10515,6,1,60
471692,0,C5808,N282,C26871,N15391,6,1,60
471692,0,C5808,N28202,C26871,N7315,6,1,60
471692,0,C5808,N28209,C26871,N7980,6,1,60
471692,0,C5808,N2824,C26871,102,6,1,60
471692,0,C5808,N28258,C26871,N20345,6,1,60
471692,0,C5808,N28279,C26871,N19772,6,1,60
471692,0,C5808,N2831,C26871,N228,6,1,60
471692,0,C5808,N28319,C26871,N18305,6,1,60
471692,0,C5808,N285,C26871,N757,6,1,60
471692,0,C5808,N2850,C26871,N17451,6,1,60
471692,0,C5808,N2866,C26871,N16368,6,1,60
471692,0,C5808,N2868,C26871,N16049,6,1,60
471692,0,C5808,N2868,C26871,N5552,6,1,60
471692,0,C5808,N2904,C26871,N13078,6,1,60
471692,0,C5808,N29084,C26871,N20860,6,1,60
471692,0,C5808,N29096,C26871,N19803,6,1,60
471692,0,C5808,N29103,C26871,N5540,6,1,60
471692,0,C5808,N29186,C26871,N133,6,1,60
471692,0,C5808,N29191,C26871,N19409,6,1,60
471692,0,C5808,N2922,C26871,N2538,6,1,60
471692,0,C5808,N29229,C26871,N19592,6,1,60
471692,0,C5808,N29232,C26871,N18912,6,1,60
471692,0,C5808,N29270,C26871,13,6,1,60
471692,0,C5808,N29342,C26871,N10442,6,1,60
471692,0,C5808,N29468,C26871,N18200,6,1,60
471692,0,C5808,N29491,C26871,N4867,6,1,60
471692,0,C5808,N29519,C26871,N17665,6,1,60
471692,0,C5808,N2955,C26871,N17826,6,1,60
471692,0,C5808,N29587,C26871,N13991,6,1,60
471692,0,C5808,N29589,C26871,N17442,6,1,60
471692,0,C5808,N29683,C26871,N10489,6,1,60
471692,0,C5808,N29745,C26871,N15519,6,1,60
471692,0,C5808,N29804,C26871,N18263,6,1,60
471692,0,C5808,N29870,C26871,N3074,6,1,60
471692,0,C5808,N2991,C26871,N17085,6,1,60
471692,0,C5808,N29915,C26871,N14494,6,1,60
471692,0,C5808,N29915,C26871,N19160,6,1,60
471692,0,C5808,N29983,C26871,N18327,6,1,60
471692,0,C5808,N29983,C26871,N18626,6,1,60
471692,0,C5808,N3013,C26871,N11627,6,1,60
471692,0,C5808,N3017,C26871,N19005,6,1,60
471692,0,C5808,N302,C26871,N6498,6,1,60
471692,0,C5808,N30215,C26871,N18080,6,1,60
471692,0,C5808,N30267,C26871,N18059,6,1,60
471692,0,C5808,N30273,C26871,N11375,6,1,60
471692,0,C5808,N30273,C26871,N20818,6,1,60
471692,0,C5808,N30492,C26871,N13052,6,1,60
471692,0,C5808,N30532,C26871,N20619,6,1,60
471692,0,C5808,N3072,C26871,N6966,6,1,60
471692,0,C5808,N30817,C26871,N6514,6,1,60
471692,0,C5808,N30852,C26871,N17584,6,1,60
471692,0,C5808,N30930,C26871,N17694,6,1,60
471692,0,C5808,N30930,C26871,N18375,6,1,60
471692,0,C5808,N30931,C26871,N4915,6,1,60
471692,0,C5808,N30986,C26871,N6904,6,1,60
471692,0,C5808,N3099,C26871,N21476,6,1,60
471692,0,C5808,N31027,C26871,N8874,6,1,60
471692,0,C5808,N3103,C26871,N2976,6,1,60
471692,0,C5808,N31032,C26871,N18860,6,1,60
471692,0,C5808,N3108,C26871,N20791,6,1,60
471692,0,C5808,N31150,C26871,N12388,6,1,60
471692,0,C5808,N31154,C26871,N18630,6,1,60
471692,0,C5808,N31161,C26871,N20393,6,1,60
471692,0,C5808,N31184,C26871,N3596,6,1,60
471692,0,C5808,N31193,C26871,N3392,6,1,60
471692,0,C5808,N312,C26871,N20402,6,1,60
471692,0,C5808,N31204,C26871,N17420,6,1,60
471692,0,C5808,N31238,C26871,N15633,6,1,60
471692,0,C5808,N31240,C26871,N18318,6,1,60
471692,0,C5808,N31293,C26871,N18667,6,1,60
471692,0,C5808,N31293,C26871,N8191,6,1,60
471692,0,C5808,N31300,C26871,N19216,6,1,60
471692,0,C5808,N31466,C26871,N19768,6,1,60
471692,0,C5808,N31538,C26871,N8594,6,1,60
471692,0,C5808,N31568,C26871,N16877,6,1,60
471692,0,C5808,N31577,C26871,N1853,6,1,60
471692,0,C5808,N3159,C26871,N1035,6,1,60
471692,0,C5808,N31793,C26871,N6253,6,1,60
471692,0,C5808,N31823,C26871,N12872,6,1,60
471692,0,C5808,N31827,C26871,N3626,6,1,60
471692,0,C5808,N31837,C26871,N1454,6,1,60
471692,0,C5808,N31879,C26871,N19215,6,1,60
471692,0,C5808,N31881,C26871,N20850,6,1,60
471692,0,C5808,N31952,C26871,N19389,6,1,60
471692,0,C5808,N31962,C26871,N17474,6,1,60
471692,0,C5808,N3198,C26871,N5645,6,1,60
471692,0,C5808,N32043,C26871,N12244,6,1,60
471692,0,C5808,N32067,C26871,N17701,6,1,60
471692,0,C5808,N32099,C26871,N16969,6,1,60
471692,0,C5808,N32102,C26871,N21419,6,1,60
471692,0,C5808,N32120,C26871,N930,6,1,60
471692,0,C5808,N32130,C26871,N5671,6,1,60
471692,0,C5808,N3216,C26871,N6591,6,1,60
471692,0,C5808,N32176,C26871,N19709,6,1,60
471692,0,C5808,N32181,C26871,N6571,6,1,60
471692,0,C5808,N32184,C26871,N319,6,1,60
471692,0,C5808,N32194,C26871,N3961,6,1,60
471692,0,C5808,N32207,C26871,N8846,6,1,60
471692,0,C5808,N32211,C26871,N10585,6,1,60
471692,0,C5808,N32235,C26871,N18282,6,1,60
471692,0,C5808,N32239,C26871,N15682,6,1,60
471692,0,C5808,N3226,C26871,N8550,6,1,60
471692,0,C5808,N32260,C26871,5190,6,1,60
471692,0,C5808,N32263,C26871,N20354,6,1,60
471692,0,C5808,N32283,C26871,N10518,6,1,60
471692,0,C5808,N32312,C26871,N732,6,1,60
471692,0,C5808,N32351,C26871,N18620,6,1,60
471692,0,C5808,N32356,C26871,N6747,6,1,60
471692,0,C5808,N32363,C26871,N21406,6,1,60
471692,0,C5808,N32366,C26871,N11895,6,1,60
471692,0,C5808,N32367,C26871,N19247,6,1,60
471692,0,C5808,N32368,C26871,N9381,6,1,60
471692,0,C5808,N32372,C26871,N14508,6,1,60
471692,0,C5808,N32381,C26871,N18030,6,1,60
471692,0,C5808,N32384,C26871,N19633,6,1,60
471692,0,C5808,N32385,C26871,N17715,6,1,60
471692,0,C5808,N32387,C26871,N9854,6,1,60
471692,0,C5808,N32399,C26871,10083,6,1,60
471692,0,C5808,N32401,C26871,N3966,6,1,60
471692,0,C5808,N32419,C26871,N17322,6,1,60
471692,0,C5808,N32433,C26871,N6874,6,1,60
471692,0,C5808,N32438,C26871,N4416,6,1,60
471692,0,C5808,N32443,C26871,N4843,6,1,60
471692,0,C5808,N32461,C26871,N18149,6,1,60
471692,0,C5808,N32487,C26871,N13668,6,1,60
471692,0,C5808,N32490,C26871,N6569,6,1,60
471692,0,C5808,N32516,C26871,N10132,6,1,60
471692,0,C5808,N32526,C26871,N19798,6,1,60
471692,0,C5808,N32547,C26871,N15840,6,1,60
471692,0,C5808,N32553,C26871,N466,6,1,60
471692,0,C5808,N32553,C26871,N9896,6,1,60
471692,0,C5808,N32567,C26871,N11896,6,1,60
471692,0,C5808,N3257,C26871,N20495,6,1,60
471692,0,C5808,N32584,C26871,N9663,6,1,60
471692,0,C5808,N32593,C26871,N11324,6,1,60
471692,0,C5808,N32619,C26871,N6154,6,1,60
471692,0,C5808,N32651,C26871,107,6,1,60
471692,0,C5808,N32656,C26871,N10577,6,1,60
471692,0,C5808,N32659,C26871,N5089,6,1,60
471692,0,C5808,N32678,C26871,N8060,6,1,60
471692,0,C5808,N32720,C26871,N7629,6,1,60
471692,0,C5808,N32721,C26871,N7794,6,1,60
471692,0,C5808,N32744,C26871,N11362,6,1,60
471692,0,C5808,N32772,C26871,N12280,6,1,60
471692,0,C5808,N32813,C26871,N747,6,1,60
471692,0,C5808,N32833,C26871,N2948,6,1,60
471692,0,C5808,N32841,C26871,N20889,6,1,60
471692,0,C5808,N3285,C26871,N18191,6,1,60
471692,0,C5808,N32857,C26871,N11680,6,1,60
471692,0,C5808,N32867,C26871,N13463,6,1,60
471692,0,C5808,N32868,C26871,N11631,6,1,60
471692,0,C5808,N32878,C26871,N4559,6,1,60
471692,0,C5808,N32894,C26871,N11115,6,1,60
471692,0,C5808,N32896,C26871,N14836,6,1,60
471692,0,C5808,N32912,C26871,N20788,6,1,60
471692,0,C5808,N32930,C26871,N14521,6,1,60
471692,0,C5808,N32953,C26871,1701,6,1,60
471692,0,C5808,N32959,C26871,N21471,6,1,60
471692,0,C5808,N32981,C26871,N7247,6,1,60
471692,0,C5808,N32992,C26871,N6396,6,1,60
471692,0,C5808,N32997,C26871,N5514,6,1,60
471692,0,C5808,N33020,C26871,749,6,1,60
471692,0,C5808,N33022,C26871,N7814,6,1,60
471692,0,C5808,N33039,C26871,N13158,6,1,60
471692,0,C5808,N33047,C26871,2000,6,1,60
471692,0,C5808,N33058,C26871,N20514,6,1,60
471692,0,C5808,N33070,C26871,N4528,6,1,60
471692,0,C5808,N3310,C26871,N8682,6,1,60
471692,0,C5808,N33127,C26871,N4173,6,1,60
471692,0,C5808,N33136,C26871,N4649,6,1,60
471692,0,C5808,N33143,C26871,N18934,6,1,60
471692,0,C5808,N33161,C26871,N3677,6,1,60
471692,0,C5808,N33172,C26871,N17444,6,1,60
471692,0,C5808,N33173,C26871,N16989,6,1,60
471692,0,C5808,N33175,C26871,512,6,1,60
471692,0,C5808,N33177,C26871,N21259,6,1,60
471692,0,C5808,N33214,C26871,N6622,6,1,60
471692,0,C5808,N33241,C26871,N20589,6,1,60
471692,0,C5808,N33244,C26871,N19236,6,1,60
471692,0,C5808,N33259,C26871,N17882,6,1,60
471692,0,C5808,N33272,C26871,N8352,6,1,60
471692,0,C5808,N33297,C26871,N18420,6,1,60
471692,0,C5808,N333,C26871,N21413,6,1,60
471692,0,C5808,N33303,C26871,N17458,6,1,60
471692,0,C5808,N33321,C26871,7,6,1,60
471692,0,C5808,N33334,C26871,N6460,6,1,60
471692,0,C5808,N33336,C26871,N18908,6,1,60
471692,0,C5808,N33339,C26871,N20297,6,1,60
471692,0,C5808,N33351,C26871,N17456,6,1,60
471692,0,C5808,N33381,C26871,N10517,6,1,60
471692,0,C5808,N33381,C26871,N3079,6,1,60
471692,0,C5808,N33404,C26871,N17705,6,1,60
471692,0,C5808,N33415,C26871,N17820,6,1,60
471692,0,C5808,N33423,C26871,N18674,6,1,60
471692,0,C5808,N33440,C26871,N14985,6,1,60
471692,0,C5808,N33443,C26871,N17080,6,1,60
471692,0,C5808,N33448,C26871,N21159,6,1,60
471692,0,C5808,N3347,C26871,N5083,6,1,60
471692,0,C5808,N33470,C26871,N7973,6,1,60
471692,0,C5808,N33478,C26871,N21071,6,1,60
471692,0,C5808,N33484,C26871,N17829,6,1,60
471692,0,C5808,N33495,C26871,N14523,6,1,60
471692,0,C5808,N33512,C26871,N3052,6,1,60
471692,0,C5808,N33513,C26871,N20389,6,1,60
471692,0,C5808,N33532,C26871,N16477,6,1,60
471692,0,C5808,N33544,C26871,N17391,6,1,60
471692,0,C5808,N33552,C26871,N15295,6,1,60
471692,0,C5808,N33563,C26871,N9739,6,1,60
471692,0,C5808,N33577,C26871,N20271,6,1,60
471692,0,C5808,N33577,C26871,N4985,6,1,60
471692,0,C5808,N33585,C26871,N8410,6,1,60
471692,0,C5808,N33586,C26871,N20852,6,1,60
471692,0,C5808,N33652,C26871,N17809,6,1,60
471692,0,C5808,N33661,C26871,4569,6,1,60
471692,0,C5808,N33665,C26871,N15200,6,1,60
471692,0,C5808,N33669,C26871,95,6,1,60
471692,0,C5808,N33697,C26871,N1028,6,1,60
471692,0,C5808,N33710,C26871,N17707,6,1,60
471692,0,C5808,N33716,C26871,N15854,6,1,60
471692,0,C5808,N33725,C26871,N11569,6,1,60
471692,0,C5808,N33739,C26871,N21234,6,1,60
471692,0,C5808,N33742,C26871,N18651,6,1,60
471692,0,C5808,N33799,C26871,N3702,6,1,60
471692,0,C5808,N33801,C26871,N18510,6,1,60
471692,0,C5808,N33814,C26871,6002,6,1,60
471692,0,C5808,N33821,C26871,N18133,6,1,60
471692,0,C5808,N33830,C26871,N17796,6,1,60
471692,0,C5808,N33844,C26871,N18053,6,1,60
471692,0,C5808,N33847,C26871,N20331,6,1,60
471692,0,C5808,N33850,C26871,N20821,6,1,60
471692,0,C5808,N33852,C26871,372,6,1,60
471692,0,C5808,N33866,C26871,N15164,6,1,60
471692,0,C5808,N33900,C26871,N17518,6,1,60
471692,0,C5808,N33902,C26871,N17838,6,1,60
471692,0,C5808,N3396,C26871,N18966,6,1,60
471692,0,C5808,N33987,C26871,N18315,6,1,60
471692,0,C5808,N33988,C26871,N14338,6,1,60
471692,0,C5808,N3399,C26871,N20314,6,1,60
471692,0,C5808,N34189,C26871,N10712,6,1,60
471692,0,C5808,N34313,C26871,N21134,6,1,60
471692,0,C5808,N34445,C26871,N18291,6,1,60
471692,0,C5808,N34483,C26871,N17119,6,1,60
471692,0,C5808,N34604,C26871,N13616,6,1,60
471692,0,C5808,N34630,C26871,N18108,6,1,60
471692,0,C5808,N34658,C26871,N1991,6,1,60
471692,0,C5808,N34897,C26871,N11852,6,1,60
471692,0,C5808,N34903,C26871,N20854,6,1,60
471692,0,C5808,N34929,C26871,N21146,6,1,60
471692,0,C5808,N34944,C26871,N17484,6,1,60
471692,0,C5808,N34950,C26871,N171,6,1,60
471692,0,C5808,N35079,C26871,117,6,1,60
471692,0,C5808,N3512,C26871,1313,6,1,60
471692,0,C5808,N35199,C26871,N14223,6,1,60
471692,0,C5808,N35201,C26871,N11671,6,1,60
471692,0,C5808,N35204,C26871,N17380,6,1,60
471692,0,C5808,N35212,C26871,N10021,6,1,60
471692,0,C5808,N35238,C26871,N20510,6,1,60
471692,0,C5808,N35274,C26871,N14796,6,1,60
471692,0,C5808,N35320,C26871,N18098,6,1,60
471692,0,C5808,N35324,C26871,N4997,6,1,60
471692,0,C5808,N35325,C26871,N17932,6,1,60
471692,0,C5808,N35341,C26871,N19395,6,1,60
471692,0,C5808,N35370,C26871,N19188,6,1,60
471692,0,C5808,N35370,C26871,N19747,6,1,60
471692,0,C5808,N35378,C26871,N15454,6,1,60
471692,0,C5808,N35395,C26871,N18009,6,1,60
471692,0,C5808,N35395,C26871,N20350,6,1,60
471692,0,C5808,N35404,C26871,4369,6,1,60
471692,0,C5808,N35419,C26871,22273,6,1,60
471692,0,C5808,N35423,C26871,N17883,6,1,60
471692,0,C5808,N35429,C26871,N19520,6,1,60
471692,0,C5808,N35450,C26871,N17793,6,1,60
471692,0,C5808,N35459,C26871,4559,6,1,60
471692,0,C5808,N35460,C26871,N19559,6,1,60
471692,0,C5808,N35476,C26871,N18556,6,1,60
471692,0,C5808,N35492,C26871,N5581,6,1,60
471692,0,C5808,N35503,C26871,N17853,6,1,60
471692,0,C5808,N35516,C26871,N11500,6,1,60
471692,0,C5808,N35522,C26871,N17564,6,1,60
471692,0,C5808,N35614,C26871,N6668,6,1,60
471692,0,C5808,N35626,C26871,N1456,6,1,60
471692,0,C5808,N35637,C26871,631,6,1,60
471692,0,C5808,N35658,C26871,N12203,6,1,60
471692,0,C5808,N35689,C26871,N3429,6,1,60
471692,0,C5808,N35710,C26871,N21157,6,1,60
471692,0,C5808,N35711,C26871,N18390,6,1,60
471692,0,C5808,N35732,C26871,N6566,6,1,60
471692,0,C5808,N35741,C26871,N21497,6,1,60
471692,0,C5808,N35742,C26871,N17956,6,1,60
471692,0,C5808,N35753,C26871,N19242,6,1,60
471692,0,C5808,N35758,C26871,N17082,6,1,60
471692,0,C5808,N35758,C26871,N6706,6,1,60
471692,0,C5808,N35761,C26871,750,6,1,60
471692,0,C5808,N35764,C26871,N17330,6,1,60
471692,0,C5808,N35769,C26871,N18055,6,1,60
471692,0,C5808,N35775,C26871,N1959,6,1,60
471692,0,C5808,N35776,C26871,N18561,6,1,60
471692,0,C5808,N35811,C26871,N15324,6,4,210
471692,0,C5808,N35839,C26871,N12389,6,1,60
471692,0,C5808,N35849,C26871,N18722,6,1,60
471692,0,C5808,N35862,C26871,11371,6,1,60
471692,0,C5808,N35868,C26871,N17618,6,1,60
471692,0,C5808,N35910,C26871,N3597,6,1,60
471692,0,C5808,N35920,C26871,N17041,6,1,60
471692,0,C5808,N35935,C26871,N19627,6,1,60
471692,0,C5808,N35946,C26871,N19735,6,1,60
471692,0,C5808,N35946,C26871,N6881,6,1,60
471692,0,C5808,N35985,C26871,N19769,6,1,60
471692,0,C5808,N35991,C26871,N21478,6,1,60
471692,0,C5808,N36011,C26871,N20383,6,1,60
471692,0,C5808,N36049,C26871,N1457,6,1,60
471692,0,C5808,N36064,C26871,N18357,6,1,60
471692,0,C5808,N36085,C26871,N18740,6,1,60
471692,0,C5808,N36101,C26871,N4421,6,1,60
471692,0,C5808,N36109,C26871,N2867,6,1,60
471692,0,C5808,N3611,C26871,N19512,6,1,60
471692,0,C5808,N36140,C26871,N12371,6,1,60
471692,0,C5808,N36140,C26871,N3483,6,1,60
471692,0,C5808,N36149,C26871,N3828,6,1,60
471692,0,C5808,N36174,C26871,N355,6,1,60
471692,0,C5808,N36177,C26871,N8157,6,1,60
471692,0,C5808,N36189,C26871,N16935,6,1,60
471692,0,C5808,N36214,C26871,N18469,6,1,60
